initial_age,weight,family_kind,race,marital_status,accumulated_capital,annual_contribution,income,new_accumulated_capital
58,578,1,1,1,-218667.17030405908,0.29,7.847145183063404e+41,-218667.17030405908
58,613,1,1,1,-142302.07128242185,0.17,2.776927221939348e+41,-142302.07128242185
60,656,3,1,3,23880.757771127057,0.31,3.122288328907085e+41,23880.757771127057
61,525,2,1,5,-65315.48036080689,0.2,1.2156894898008471e+41,-65315.48036080689
61,545,1,1,1,-117564.03148357036,0.26,1.7196178811540151e+41,-117564.03148357036
60,299,1,1,1,566626.7210408133,0.09,2.373437118284475e+41,566626.7210408133
44,304,1,1,1,58241.12243267061,0.2,9.362548338281649e+41,58241.12243267061
40,286,3,1,5,-149009.61201093585,0.07,6.082513398854875e+41,-149009.61201093585
40,336,1,1,1,68205.02537586076,0.2,1.0124344013154455e+42,68205.02537586076
59,308,1,1,1,-5160.777793190488,0.05,6.7627317492133976e+41,-5160.777793190488
48,302,1,1,1,-15102.0281018622,0.2,6.5753123708670304e+41,-15102.0281018622
42,337,1,1,1,12453.799121462103,0.29,1.4409196484886307e+41,12453.799121462103
54,621,1,1,1,-98606.17089825076,0.09,6.345149984029647e+40,-98606.17089825076
63,354,3,1,3,-141460.4576426003,0.32,8.551960947322541e+40,-141460.4576426003
46,308,1,1,1,-112742.5766807204,0.31,5.28975746497249e+41,-112742.5766807204
35,344,1,1,1,85714.04587024963,0.33,7.68774384108575e+41,85714.04587024963
61,350,3,1,3,41240.72846860808,0.12,8.57030445267448e+41,41240.72846860808
47,644,1,1,1,123068.31747253932,0.09,4.1642731825835455e+41,123068.31747253932
59,613,3,1,3,-75397.65738214241,0.01,1.1975082699886754e+41,-75397.65738214241
52,569,2,1,3,1848.4674081593148,0.04,3.4681347291427976e+41,1848.4674081593148
48,593,3,1,5,19046.270499889462,0.25,1.2075058449807109e+42,19046.270499889462
61,619,3,1,3,-52402.52717317276,0.16,4.905854017142239e+41,-52402.52717317276
39,318,3,1,3,95933.85247965416,0.05,6.419675061448034e+41,95933.85247965416
37,318,2,1,3,7424.720190636249,0.25,7.666673877774866e+41,7424.720190636249
59,593,2,1,3,137729.87877768106,0.28,1.7373219743948268e+41,137729.87877768106
45,593,3,1,3,40014.55173178135,0.01,1.8528751582667826e+42,40014.55173178135
58,587,1,1,1,371793.1304393215,0.23,3.074945344305446e+41,371793.1304393215
47,578,3,1,3,-99001.55058647488,0.25,2.225274340608697e+41,-99001.55058647488
63,615,3,1,3,-195721.7965811589,0.01,4.416144927993301e+41,-195721.7965811589
49,305,1,1,1,91594.17743422095,0.04,5.455179253293511e+41,91594.17743422095
49,302,1,1,1,162338.2463931727,0.13,8.138181978849004e+41,162338.2463931727
49,294,1,1,1,192751.98608077937,0.07,2.334208124449038e+41,192751.98608077937
62,621,2,1,3,33630.11407302681,0.1,5.167737899453012e+41,33630.11407302681
59,578,1,1,1,24171.20366299901,0.14,5.179418892185842e+41,24171.20366299901
52,625,2,1,5,256293.80563946,0.01,3.646662091409497e+41,256293.80563946
47,660,1,1,1,-126034.98436208656,0.18,2.3022323713663256e+41,-126034.98436208656
53,569,2,1,3,45757.19302455328,0.18,4.7046398502203925e+41,45757.19302455328
51,594,1,1,1,-33427.59410116461,0.09,5.3255304610702155e+41,-33427.59410116461
61,621,1,1,1,100153.81049732308,0.02,3.831978676353423e+41,100153.81049732308
60,656,1,1,1,-88379.62579785292,0.07,1.9497544130901157e+41,-88379.62579785292
48,295,2,1,3,-224387.47380531963,0.33,7.738976953866771e+41,-224387.47380531963
48,316,3,1,4,-23648.75344788534,0.35,3.3516559693195473e+41,-23648.75344788534
52,551,3,1,3,13119.787106220894,0.19,5.766767028594442e+41,13119.787106220894
61,572,2,1,3,-100762.9845913296,0.29,3.651233886040493e+41,-100762.9845913296
61,234,2,3,3,37497.14759878947,0.32,1.2863809483147954e+41,37497.14759878947
46,320,3,1,5,-128427.9618024882,0.05,5.76532514610376e+41,-128427.9618024882
42,320,3,1,3,-141939.99621777798,0.06,5.2293419184775075e+41,-141939.99621777798
39,345,2,1,5,111441.6532049696,0.1,6.699587955712071e+41,111441.6532049696
52,281,1,1,1,-185846.0331145129,0.28,3.6886925368958214e+41,-185846.0331145129
47,336,1,1,1,78009.97737503791,0.26,7.798537111094131e+41,78009.97737503791
43,286,1,1,1,-125129.87124045928,0.0,4.85967049761765e+41,-125129.87124045928
45,660,3,1,5,141408.59409807788,0.24,4.623477099246356e+41,141408.59409807788
51,294,1,1,1,-103227.75913656502,0.26,1.553397006233302e+41,-103227.75913656502
48,647,2,1,3,268609.7489375139,0.23,5.547044300429782e+41,268609.7489375139
43,647,3,1,3,-101251.57768616812,0.12,7.995148396402202e+41,-101251.57768616812
62,551,1,1,1,81473.81949865304,0.01,4.535324651394892e+41,81473.81949865304
55,616,2,1,3,-27932.26234443296,0.2,1.6907361765233804e+41,-27932.26234443296
60,591,1,1,1,14841.9098354652,0.22,4.267635367741135e+41,14841.9098354652
56,578,3,1,3,-80557.92261113154,0.05,1.3904988029057689e+41,-80557.92261113154
41,313,1,1,1,41117.70627242291,0.33,1.1631819976722981e+42,41117.70627242291
44,343,1,1,1,-110688.9967095426,0.34,1.4104556841568058e+42,-110688.9967095426
56,614,3,1,3,71227.91380542977,0.07,1.2098720144632793e+41,71227.91380542977
42,301,1,1,1,-121148.04553647494,0.25,1.2043126458627057e+42,-121148.04553647494
36,309,1,1,1,-283621.484612912,0.35,6.124169313372776e+41,-283621.484612912
38,309,1,1,1,-89224.19803506618,0.04,1.0222591546394424e+42,-89224.19803506618
56,309,2,1,3,34649.310858522986,0.32,3.6944065342502004e+41,34649.310858522986
39,309,3,1,5,-143656.70286273304,0.27,3.607808161315536e+41,-143656.70286273304
59,616,2,1,2,8308.1430673426,0.14,7.704044136741565e+41,8308.1430673426
63,579,3,1,3,-19851.525100317973,0.02,1.4482745927531308e+41,-19851.525100317973
43,579,2,1,3,110978.578445517,0.1,1.0427041932090817e+41,110978.578445517
56,666,1,1,1,-92243.11306176538,0.21,2.6716144975404297e+41,-92243.11306176538
44,666,3,1,5,169697.1079381156,0.02,5.459346889652897e+41,169697.1079381156
41,328,1,1,1,32657.40996676645,0.13,3.961774762058684e+41,32657.40996676645
38,328,1,1,1,-3020.0150899846744,0.13,7.308363957386425e+41,-3020.0150899846744
42,591,1,1,1,-64389.0430594834,0.2,1.939068532147514e+41,-64389.0430594834
48,660,1,1,1,-274492.0067383053,0.06,3.2910372150400677e+41,-274492.0067383053
40,300,3,1,2,74757.44698667098,0.13,5.735210637804412e+41,74757.44698667098
41,300,2,1,5,-157394.15669368842,0.26,7.568618213125677e+41,-157394.15669368842
63,663,3,1,3,-105870.1895272634,0.08,1.660326200046768e+41,-105870.1895272634
60,614,1,1,1,62668.138839211264,0.02,4.565408309200627e+41,62668.138839211264
56,550,2,1,3,634590.6708282295,0.23,7.495735758094803e+41,634590.6708282295
52,587,3,1,3,-301269.1922862795,0.01,3.053174606736925e+41,-301269.1922862795
62,278,3,1,3,-34827.19201069689,0.1,3.209051216434588e+41,-34827.19201069689
40,345,1,1,1,70789.52191176618,0.07,1.1861917674003675e+42,70789.52191176618
57,359,2,4,3,52285.80463702983,0.01,4.882916377399665e+41,52285.80463702983
50,317,3,1,3,7417.363575260744,0.16,5.8316908293020655e+41,7417.363575260744
47,315,1,1,1,-123906.24690713736,0.29,5.176363153028948e+41,-123906.24690713736
63,656,1,1,1,62001.81409711784,0.31,4.775753813900313e+41,62001.81409711784
53,621,3,1,5,-91037.871744777,0.01,1.2736435624604325e+41,-91037.871744777
60,656,3,1,3,234119.84024046463,0.18,4.789060040902706e+41,234119.84024046463
57,551,1,1,1,88725.62806231248,0.02,7.204832933118632e+41,88725.62806231248
61,521,1,1,1,-12888.94858958734,0.31,1.2499511078809255e+41,-12888.94858958734
50,551,3,1,5,-97233.82075859056,0.07,1.3677337480464848e+41,-97233.82075859056
42,278,2,1,3,-13350.80457041318,0.34,8.398585466456494e+41,-13350.80457041318
53,331,1,1,1,21537.37814086863,0.29,3.3765016645443592e+41,21537.37814086863
42,332,3,4,3,58061.34464492171,0.32,4.7387779631797925e+41,58061.34464492171
38,313,3,1,2,-35402.143310300984,0.02,1.7010139855604635e+42,-35402.143310300984
37,357,2,1,5,151715.25589027497,0.18,5.115505234697863e+41,151715.25589027497
55,616,2,1,3,47156.2698422152,0.17,4.895915841557644e+41,47156.2698422152
51,594,1,1,1,-61201.89511457091,0.35,1.5452994666484098e+41,-61201.89511457091
45,591,3,1,3,-79096.04505367641,0.22,3.655407962088759e+41,-79096.04505367641
57,562,2,1,3,236171.9968276771,0.25,1.2715863294649133e+41,236171.9968276771
57,613,1,1,1,47872.33536446839,0.02,1.8590648841422858e+41,47872.33536446839
56,550,2,1,3,726941.1368131585,0.17,2.191075762582958e+41,726941.1368131585
47,593,1,1,1,489696.7837195629,0.09,6.938862015970428e+41,489696.7837195629
58,614,1,1,1,740381.6431887951,0.02,6.394326873687882e+40,740381.6431887951
38,318,1,1,1,116477.6065014968,0.04,3.488385403866661e+41,116477.6065014968
57,545,2,1,3,16467.99678445813,0.22,4.688847797699665e+41,16467.99678445813
54,561,1,1,1,77480.99346966618,0.03,6.990716726525956e+41,77480.99346966618
52,294,1,1,1,14255.68297581187,0.14,1.1469469347895224e+42,14255.68297581187
51,315,1,1,1,18151.864244254142,0.13,1.8780420789427575e+41,18151.864244254142
35,313,1,1,1,-55020.413722034325,0.04,1.8538321303396688e+42,-55020.413722034325
57,660,1,1,1,71160.93739660742,0.07,4.423551939186493e+41,71160.93739660742
38,313,1,1,1,77018.3531855649,0.32,1.948597861944814e+42,77018.3531855649
41,300,1,1,1,94420.47725503628,0.09,1.2357459792524234e+41,94420.47725503628
50,322,3,1,3,-97046.9446753114,0.06,6.7186250271972056e+41,-97046.9446753114
36,306,2,1,5,7789.398865698812,0.16,1.1975080729558207e+42,7789.398865698812
37,306,3,1,3,-26954.691312988783,0.16,5.5360368393945595e+41,-26954.691312988783
49,338,2,1,3,-60172.45841953243,0.16,6.286911224913574e+41,-60172.45841953243
45,266,1,1,1,-107629.67983594596,0.19,1.1463409805501069e+42,-107629.67983594596
50,336,1,1,1,448467.57118270645,0.31,6.797622691110374e+41,448467.57118270645
35,338,1,4,1,81187.16888335101,0.04,9.654854654731637e+40,81187.16888335101
56,578,3,1,3,10963.066074047883,0.12,5.8968541863260986e+41,10963.066074047883
47,315,3,1,3,-55023.80023558719,0.08,1.775404183579771e+41,-55023.80023558719
41,315,2,1,3,19138.351018535013,0.13,3.4369911910891124e+41,19138.351018535013
42,328,1,1,1,58195.93590851216,0.2,8.428128513464985e+41,58195.93590851216
58,616,2,1,5,-66794.24432638362,0.12,2.3882455498580467e+41,-66794.24432638362
62,350,1,1,1,25021.72851917536,0.33,3.0867833209251285e+41,25021.72851917536
48,660,2,1,3,29774.500860311487,0.31,2.456946862570758e+40,29774.500860311487
49,660,3,1,5,-39718.10504550262,0.22,2.4857164857478246e+41,-39718.10504550262
51,331,3,1,3,85609.03374787928,0.27,4.933467076175284e+41,85609.03374787928
46,352,1,1,1,89115.88198097725,0.16,5.953613182243679e+41,89115.88198097725
47,567,2,1,3,26681.19872580972,0.06,6.25656698701402e+41,26681.19872580972
46,295,2,1,2,650593.3372563366,0.15,1.045453198328649e+41,650593.3372563366
51,587,1,1,1,114763.87312870266,0.01,3.1130487322818083e+41,114763.87312870266
50,587,3,1,3,-91820.09719202736,0.14,1.0554269427877811e+41,-91820.09719202736
54,551,3,1,2,-72022.03093471643,0.09,2.4711869837470054e+40,-72022.03093471643
52,551,3,1,3,33970.87003446786,0.16,3.878788284360632e+41,33970.87003446786
55,294,1,1,1,17458.105848037885,0.14,3.2277025844441297e+41,17458.105848037885
55,561,1,1,1,-108542.57872303748,0.25,9.781234565304882e+41,-108542.57872303748
58,545,2,1,5,-368455.2304815564,0.22,7.252319746483665e+41,-368455.2304815564
59,561,1,1,1,-106175.68692932502,0.24,4.499637365567698e+41,-106175.68692932502
46,308,1,1,1,440.23728343586095,0.01,4.675520827301591e+41,440.23728343586095
51,538,2,1,3,-122836.98640889474,0.08,6.460419850639822e+41,-122836.98640889474
53,538,2,1,3,59514.00203537222,0.15,2.314242571658329e+41,59514.00203537222
39,586,2,1,4,-88044.8395738676,0.21,3.668377338049208e+41,-88044.8395738676
48,578,1,1,1,93821.44981223278,0.2,5.6317140585808516e+41,93821.44981223278
62,591,3,1,3,96626.70014001676,0.23,4.450987892225668e+41,96626.70014001676
63,591,1,1,1,161912.4211704895,0.19,4.6234471674209925e+41,161912.4211704895
54,625,2,1,5,-35319.092950118174,0.11,5.524098806037885e+41,-35319.092950118174
61,591,1,1,1,-128849.09742590223,0.08,3.931470486351181e+41,-128849.09742590223
62,578,1,1,1,43495.48439976342,0.05,6.904430752201785e+40,43495.48439976342
35,582,2,1,5,103381.52365128926,0.31,4.244955463897509e+41,103381.52365128926
49,315,3,1,3,23423.660990911107,0.06,6.3239131382305065e+41,23423.660990911107
63,613,1,1,1,193679.03293037825,0.09,2.2545280089427294e+41,193679.03293037825
42,644,3,1,5,-135678.515003635,0.31,4.8470416124137134e+41,-135678.515003635
43,644,2,1,3,83667.53277496307,0.13,7.946227377982176e+41,83667.53277496307
41,644,3,1,5,36069.326710338224,0.25,8.8579397876135e+41,36069.326710338224
63,617,1,1,1,-11329.887872589165,0.13,5.118072724114256e+41,-11329.887872589165
63,617,3,1,3,-163064.06865838025,0.23,2.6800106587706956e+41,-163064.06865838025
47,660,1,1,1,-78272.44926069249,0.16,1.1995666355212444e+41,-78272.44926069249
56,614,3,1,3,-213453.64161984625,0.05,4.0945026686547855e+41,-213453.64161984625
59,587,1,1,1,14956.151011245996,0.01,5.317902949928508e+41,14956.151011245996
61,619,1,1,1,-38794.263086583785,0.34,1.6220392592097408e+41,-38794.263086583785
39,318,3,1,3,6494.397835068547,0.27,6.802351477771795e+41,6494.397835068547
52,313,3,1,5,-129588.2467615828,0.18,1.953908257418175e+41,-129588.2467615828
51,551,3,1,3,19029.55437766952,0.15,3.4138458220026642e+41,19029.55437766952
49,244,1,1,1,155551.47494866466,0.09,4.256501289142078e+41,155551.47494866466
53,551,1,1,1,238117.18968173448,0.3,7.374022192439077e+40,238117.18968173448
47,530,2,1,3,76260.40369285627,0.34,3.8361533980006325e+41,76260.40369285627
53,344,1,2,1,-166212.05093496584,0.1,8.959161311023623e+41,-166212.05093496584
40,617,2,1,5,-434750.3402374457,0.0,8.920538531127833e+41,-434750.3402374457
40,329,3,1,3,25779.912378864967,0.34,8.882473115051085e+41,25779.912378864967
45,336,1,1,1,-130434.70575222936,0.16,1.0392210501491976e+42,-130434.70575222936
53,301,1,1,1,-166634.7944530859,0.08,2.3598523473420463e+41,-166634.7944530859
56,316,2,1,2,38981.59201172336,0.3,4.905782583148859e+41,38981.59201172336
50,304,1,1,1,-103524.90130094445,0.29,7.071204445945948e+41,-103524.90130094445
38,301,1,1,1,124756.04376335394,0.14,6.170124791926734e+41,124756.04376335394
47,341,1,1,1,-151945.15167919674,0.04,7.295409087297878e+41,-151945.15167919674
35,315,1,1,1,58147.96515061047,0.08,1.5465533847691183e+42,58147.96515061047
39,315,3,1,3,97732.98624588546,0.0,9.504909238755472e+40,97732.98624588546
37,347,2,1,5,89659.52713612258,0.1,8.426876801765138e+41,89659.52713612258
51,288,1,1,1,621080.6180962581,0.03,2.0010405245343226e+41,621080.6180962581
57,293,3,1,2,-142543.5313575417,0.06,1.5396232537096606e+41,-142543.5313575417
41,324,1,4,1,-100639.21801273512,0.1,4.462963381178015e+41,-100639.21801273512
55,281,1,1,1,66372.76945837958,0.02,2.2237313753413003e+41,66372.76945837958
58,566,1,1,1,-56551.21720925001,0.28,6.273883325891042e+40,-56551.21720925001
58,551,3,1,3,-100655.153904391,0.05,1.5044271686024311e+41,-100655.153904391
59,566,1,1,1,-120927.18353398096,0.34,8.609599678741882e+40,-120927.18353398096
35,312,1,1,1,-4757.795398838157,0.34,1.0014750292770372e+42,-4757.795398838157
51,566,1,1,1,-220364.2118660948,0.34,2.7956808428556003e+41,-220364.2118660948
57,551,1,1,1,-127322.91624256223,0.31,3.8485954898713616e+41,-127322.91624256223
44,300,1,1,1,125012.24935493604,0.25,4.679786333366362e+41,125012.24935493604
35,337,1,1,1,4125.320732225942,0.35,1.365441947046267e+41,4125.320732225942
59,551,3,1,3,81749.39001199297,0.31,2.9654878234123435e+41,81749.39001199297
55,588,2,1,3,-51691.74076581283,0.08,2.000164430483356e+41,-51691.74076581283
62,564,1,1,1,14069.463058460571,0.13,2.4595817768331674e+40,14069.463058460571
36,298,1,1,1,-39275.235548915065,0.31,3.3911870862431227e+41,-39275.235548915065
54,625,3,1,4,-167077.00076790125,0.32,3.4557408481183703e+41,-167077.00076790125
56,385,2,4,3,-25182.237777407743,0.23,1.1453630959465923e+41,-25182.237777407743
43,327,1,1,1,490431.8440233152,0.09,1.0012478079248416e+42,490431.8440233152
63,588,3,1,3,-279468.99255383364,0.12,3.986246504380519e+41,-279468.99255383364
36,303,1,1,1,212507.27896132952,0.23,2.865653206421807e+41,212507.27896132952
53,310,2,1,3,4365.179627311174,0.27,2.624998838429851e+41,4365.179627311174
56,585,1,1,1,-76687.50259198,0.13,6.185867092540081e+41,-76687.50259198
54,545,2,1,5,10668.670791465876,0.07,3.4819411336333715e+41,10668.670791465876
48,301,1,1,1,-42776.0983490568,0.01,4.273411804879006e+41,-42776.0983490568
42,286,1,1,1,-59335.26128276462,0.03,4.863299075030547e+41,-59335.26128276462
48,301,1,1,1,-43565.3252496238,0.28,1.4509563389054979e+41,-43565.3252496238
56,535,2,1,3,235591.96762023872,0.1,4.22566141722726e+41,235591.96762023872
56,535,3,1,3,48907.18992828699,0.08,8.15446490599731e+41,48907.18992828699
51,526,1,1,1,6622.026348388753,0.35,3.052183993459228e+41,6622.026348388753
47,294,3,1,5,59834.15437568378,0.15,6.516187968335893e+41,59834.15437568378
53,526,1,1,1,13193.098606041342,0.33,1.6538875566615794e+41,13193.098606041342
42,588,2,1,5,109451.81442640508,0.07,5.976501784016871e+40,109451.81442640508
42,588,2,1,3,126344.67999872568,0.07,4.4179781581142074e+41,126344.67999872568
38,301,1,1,1,-246397.6881926916,0.33,4.373592582536407e+41,-246397.6881926916
50,526,3,1,4,68296.9086503052,0.31,6.5139572173372425e+41,68296.9086503052
46,300,1,1,1,138401.45916765791,0.03,2.9758914784092562e+41,138401.45916765791
54,566,1,1,1,70926.68818521428,0.13,5.9381630146450624e+41,70926.68818521428
48,248,1,1,1,62828.05990010226,0.07,8.52605335071651e+40,62828.05990010226
36,586,3,1,3,-260095.45141134868,0.02,3.4125785766680044e+41,-260095.45141134868
41,586,2,1,3,123507.94850517112,0.25,3.6618083036945845e+41,123507.94850517112
53,375,1,4,1,11884.943377088151,0.27,1.121202827517965e+41,11884.943377088151
63,625,1,1,1,276598.79118703713,0.14,5.7760570098656995e+41,276598.79118703713
43,327,1,1,1,63981.73380278045,0.17,5.389402094261429e+41,63981.73380278045
56,592,1,1,1,-21356.73371809906,0.22,4.04729896197736e+41,-21356.73371809906
42,327,2,1,3,89442.35528100336,0.23,2.132883612512999e+42,89442.35528100336
38,685,2,1,3,15213.944014885476,0.05,4.068131202702451e+41,15213.944014885476
36,615,1,1,1,88925.18560864846,0.18,6.126783519861291e+41,88925.18560864846
51,625,3,1,3,84091.39549693743,0.19,4.058451719686255e+41,84091.39549693743
39,303,3,1,3,10696.80670904247,0.18,7.671574321722206e+41,10696.80670904247
53,300,1,4,1,13275.576647414808,0.04,2.4609945479887924e+40,13275.576647414808
50,298,3,1,3,66153.37942340296,0.08,1.3096112363658031e+41,66153.37942340296
54,310,2,1,3,-176500.6932463185,0.13,4.016016171950991e+41,-176500.6932463185
51,591,1,1,1,-247708.5997172265,0.0,8.939822857474873e+40,-247708.5997172265
44,566,2,1,5,596927.8623823457,0.0,2.7170201226409915e+41,596927.8623823457
43,566,3,1,5,147872.22374847528,0.11,9.429495673974057e+41,147872.22374847528
46,529,2,1,5,-120185.0424129198,0.26,6.0676903851249085e+41,-120185.0424129198
57,585,1,1,1,-261769.52816732225,0.02,1.7837807666334093e+41,-261769.52816732225
45,301,1,1,1,-120704.82930860708,0.21,6.196098244866846e+41,-120704.82930860708
60,600,2,1,3,63963.6603607208,0.1,1.4349119253547797e+40,63963.6603607208
45,657,2,1,5,138902.43088460105,0.2,5.045416838122941e+41,138902.43088460105
42,258,2,1,3,-268075.8639739269,0.11,1.5970114015325153e+42,-268075.8639739269
44,258,3,3,5,-30174.03849919555,0.1,7.296385155080736e+41,-30174.03849919555
35,318,1,1,1,32804.57854218769,0.2,9.291179268516905e+41,32804.57854218769
63,586,1,1,1,-121730.26235176824,0.22,6.368274250181858e+41,-121730.26235176824
50,617,1,1,1,168583.90880287287,0.26,4.062898883125106e+41,168583.90880287287
